date,low,total_turnover,high,open,prev_settlement,settlement,open_interest,close,volume,limit_up,limit_down
2018-10-08,3904.0,106398373780.0,3985.0,3947.0,3942.0,3941.0,2431404.0,3971.0,2699558.0,4296.0,3587.0
2018-10-09,3970.0,148374370140.0,4047.0,3979.0,3941.0,4012.0,2454214.0,4039.0,3698170.0,4216.0,3665.0
2018-10-10,4001.0,159778880460.0,4080.0,4043.0,4012.0,4043.0,2510468.0,4055.0,3951602.0,4292.0,3731.0
2018-10-11,3958.0,206649923780.0,4074.0,4045.0,4043.0,4022.0,2557220.0,4056.0,5136838.0,4326.0,3759.0
2018-10-12,4041.0,170893148360.0,4134.0,4068.0,4022.0,4085.0,2600524.0,4106.0,4182412.0,4303.0,3740.0
2018-10-15,4093.0,162847616420.0,4166.0,4108.0,4085.0,4131.0,2705226.0,4150.0,3941918.0,4370.0,3799.0
2018-10-16,4105.0,138957832860.0,4167.0,4160.0,4131.0,4137.0,2692326.0,4117.0,3358584.0,4420.0,3841.0
2018-10-17,4105.0,161326037460.0,4198.0,4117.0,4137.0,4156.0,2833208.0,4197.0,3881130.0,4426.0,3847.0
2018-10-18,4091.0,206357013040.0,4220.0,4205.0,4156.0,4153.0,2772388.0,4108.0,4968536.0,4446.0,3865.0
2018-10-19,4054.0,181746237660.0,4126.0,4099.0,4153.0,4093.0,2740448.0,4055.0,4439472.0,4443.0,3862.0
2018-10-22,4055.0,175137764240.0,4187.0,4055.0,4093.0,4134.0,2767948.0,4154.0,4235816.0,4379.0,3806.0
2018-10-23,4134.0,126941293900.0,4175.0,4156.0,4134.0,4154.0,2782140.0,4142.0,3055276.0,4423.0,3844.0
2018-10-24,4112.0,141098457700.0,4193.0,4128.0,4154.0,4157.0,2903524.0,4190.0,3393780.0,4444.0,3863.0
2018-10-25,4142.0,179854103260.0,4209.0,4194.0,4157.0,4180.0,2910106.0,4192.0,4302452.0,4447.0,3866.0
2018-10-26,4180.0,158311206120.0,4244.0,4184.0,4180.0,4219.0,2956944.0,4228.0,3752190.0,4472.0,3887.0
2018-10-29,4144.0,175088590420.0,4242.0,4230.0,4219.0,4191.0,2827438.0,4150.0,4177040.0,4514.0,3923.0
2018-10-30,4154.0,121291652840.0,4206.0,4159.0,4191.0,4179.0,2746944.0,4172.0,2901806.0,4484.0,3897.0
